Candidate Name,Affiliation,Incumbent,Percentage of Vote,Winner,State,District,Money Raised,Money Spent
Joe Mackey,D,False,33.4,False,Indiana,04,44585.0,43213.0
Christina Hale,D,False,45.9,False,Indiana,05,4010368.0,3998905.0
Victoria Spartz,R,False,50.0,True,Indiana,05,3119328.0,3010203.0
Greg Pence,R,True,68.7,True,Indiana,06,3114448.0,2804148.0
Jeannine Lee Lake,D,False,27.7,False,Indiana,06,143089.0,145315.0
Andre Carson,D,True,62.4,True,Indiana,07,1011635.0,873962.0
Susan Marie Smith,R,False,37.6,False,Indiana,07,62905.0,59843.0
Larry Bucshon,R,True,66.9,True,Indiana,08,1051336.0,1078646.0
Thomasina Marsili,D,False,29.8,False,Indiana,08,68734.0,68480.0
Trey Hollingsworth,R,True,60.9,True,Indiana,09,1166754.0,501136.0
Andy Ruff,D,False,34.8,False,Indiana,09,148263.0,134906.0
Tonya Millis,L,False,4.3,False,Indiana,09,10224.0,10041.0
Abby Finkenauer,D,True,48.7,False,Iowa,01,5901441.0,5875405.0
Ashley Hinson,R,False,51.3,True,Iowa,01,5175883.0,5059211.0
Rita Hart,D,False,50.0,False,Iowa,02,4232992.0,4114400.0
Mariannette Miller-Meeks,R,False,50.0,True,Iowa,02,2174194.0,1721926.0
Cindy Axne,D,True,49.0,True,Iowa,03,6236976.0,6236994.0
David Young,R,False,47.6,False,Iowa,03,3170072.0,3094582.0
J.D. Scholten,D,False,62.1,False,Iowa,04,2885915.0,2902003.0
Randy Feenstra,R,False,37.9,True,Iowa,04,1906234.0,1894288.0
Tracey Mann,R,False,71.4,True,Kansas,01,1403353.0,1127156.0
Kali Barnett,D,False,28.6,False,Kansas,01,603036.0,592924.0
Michelle De La Isla,D,False,40.5,False,Kansas,02,1825085.0,1810968.0
Jake Laturner,R,False,55.3,True,Kansas,02,1593407.0,1578460.0
Sharice Davids,D,True,53.4,True,Kansas,03,5638552.0,5168034.0
Amanda Adkins,R,False,43.8,False,Kansas,03,2182382.0,2139673.0
Ron Estes,R,True,64.0,True,Kansas,04,1993808.0,1420188.0
Laura Lombard,D,False,36.0,False,Kansas,04,264459.0,258684.0
James Comer,R,True,75.0,True,Kentucky,01,736116.0,502554.0
Brett Guthrie,R,True,71.0,True,Kentucky,02,1412797.0,1566622.0
Hank Linderman,D,False,26.3,False,Kentucky,02,93388.0,71122.0
Robert Lee Perry,L,False,2.1,False,Kentucky,02,12798.0,7825.0
John Yarmuth,D,True,62.7,True,Kentucky,03,658295.0,690226.0
Rhonda Palazzo,R,False,37.3,False,Kentucky,03,46144.0,45668.0
Thomas Massie,R,True,67.1,True,Kentucky,04,1457316.0,1563275.0
Alexandra Owensby,D,False,32.9,False,Kentucky,04,156174.0,106359.0
Hal Rogers,R,True,84.2,True,Kentucky,05,664168.0,835781.0
Andy Barr,R,True,57.3,True,Kentucky,06,4536264.0,4316239.0
Josh Hicks,D,False,41.0,False,Kentucky,06,2936320.0,2935615.0
Steve Scalise,R,True,72.2,True,Louisiana,01,37262827.0,32830607.0
Cedric Richmond,D,True,63.6,True,Louisiana,02,1628289.0,1302079.0
Clay Higgins,R,True,67.8,True,Louisiana,03,751498.0,720424.0
Robert Jon Anderson,D,False,11.6,False,Louisiana,03,63617.0,48015.0
Braylon Harris,D,False,17.9,False,Louisiana,03,23006.0,15130.0
Mike Johnson,R,True,60.4,True,Louisiana,04,1299787.0,1039393.0
Kenny Houston,D,False,25.5,False,Louisiana,04,33677.0,33407.0
Luke Letlow,R,False,0,False,Louisiana,05,1392822.0,1303757.0
Lance Harris,R,False,0,False,Louisiana,05,696805.0,687833.0
Martin Lemelle,D,False,0,False,Louisiana,05,173796.0,162747.0
Scotty Robinson,R,False,0,False,Louisiana,05,113903.0,113835.0
Candy Christophe,D,False,0,False,Louisiana,05,77101.0,131161.0
Phillip Snowden,D,False,0,False,Louisiana,05,29481.0,28077.0
Matthew Hasty,R,False,0,False,Louisiana,05,2654.0,2615.0
Garret Graves,R,True,71.1,True,Louisiana,06,1743015.0,1200287.0
Dartanyon Williams,D,False,25.6,False,Louisiana,06,111316.0,98114.0
Chellie Pingree,D,True,61.5,True,Maine,01,487080.0,264790.0
Jay Allen,R,False,38.5,False,Maine,01,79585.0,69853.0
Jared Golden,D,True,52.9,True,Maine,02,5272142.0,5233990.0
Dale Crafts,R,False,47.1,False,Maine,02,1199805.0,1196117.0
Kathleen Williams,D,False,43.6,False,Montana,01,6201758.0,6232286.0
Matt Rosendale,R,False,56.4,True,Montana,01,3674706.0,3488045.0
Jeff Fortenberry,R,True,59.5,True,Nebraska,01,1472816.0,2458330.0
Kate Bolz,D,False,37.7,False,Nebraska,01,1143509.0,1140371.0
Don Bacon,R,True,50.6,True,Nebraska,02,3749272.0,3713961.0
Kara Eastman,D,False,46.3,False,Nebraska,02,4414390.0,4468006.0
Adrian Smith,R,True,78.5,True,Nebraska,03,1506473.0,1148409.0
Mark Elworth Jr,D,False,17.7,False,Nebraska,03,255.0,0.0
Dina Titus,D,True,61.8,True,Nevada,01,706193.0,587919.0
Mark Amodei,R,True,56.5,True,Nevada,02,1048056.0,1016673.0
Patricia Ackerman,D,False,40.7,False,Nevada,02,449363.0,449449.0
Susie Lee,D,True,48.8,True,Nevada,03,4748019.0,4732009.0
Dan Rodimer,R,False,45.8,False,Nevada,03,2936059.0,2915216.0
Steven Horsford,D,True,50.7,True,Nevada,04,3492372.0,3024427.0
