,Name,Affiliation,Incumbent,Winner,Vote %,Cash Raised,Cash Spent,State,District Number
353,Cedric Richmond,D,1,1,63.6,1628289.0,1302079.0,LA,02
354,Clay Higgins,R,1,1,67.8,751498.0,720424.0,LA,03
355,Robert Jon Anderson,D,0,0,11.6,63617.0,48015.0,LA,03
356,Braylon Harris,D,0,0,17.9,23006.0,15130.0,LA,03
357,Mike Johnson,R,1,1,60.4,1299787.0,1039393.0,LA,04
358,Kenny Houston,D,0,0,25.5,33677.0,33407.0,LA,04
359,Luke Letlow,R,0,0,,1392822.0,1303757.0,LA,05
360,Lance Harris,R,0,0,,696805.0,687833.0,LA,05
361,Martin Lemelle,D,0,0,,173796.0,162747.0,LA,05
362,Scotty Robinson,R,0,0,,113903.0,113835.0,LA,05
363,Candy Christophe,D,0,0,,77101.0,131161.0,LA,05
364,Phillip Snowden,D,0,0,,29481.0,28077.0,LA,05
365,Matthew Hasty,R,0,0,,2654.0,2615.0,LA,05
366,Garret Graves,R,1,1,71.1,1743015.0,1200287.0,LA,06
367,Dartanyon Williams,D,0,0,25.6,111316.0,98114.0,LA,06
368,Chellie Pingree,D,1,1,61.5,487080.0,264790.0,ME,01
369,Jay Allen,R,0,0,38.5,79585.0,69853.0,ME,01
370,Jared Golden,D,1,1,52.9,5272142.0,5233990.0,ME,02
371,Dale Crafts,R,0,0,47.1,1199805.0,1196117.0,ME,02
372,Andy Harris,R,1,1,63.5,1468096.0,973953.0,MD,01
373,Mia Mason,D,0,0,36.3,2524.0,0.0,MD,01
374,Dutch Ruppersberger,D,1,1,67.2,1012835.0,927353.0,MD,02
375,Johnny Ray Salling,R,0,0,32.6,68320.0,66895.0,MD,02
376,John Sarbanes,D,1,1,69.5,573599.0,687299.0,MD,03
377,Charles Anthony,R,0,0,30.3,7798.0,6742.0,MD,03
378,Anthony Brown,D,1,1,79.3,1446636.0,846827.0,MD,04
